category,content
출장비 규정,국내 출장은 1일 최대 7만원까지 식비를 지원한다.
출장비 규정,해외 출장은 지역에 따라 1일 최대 15만원까지 식비를 지원한다.
출장비 규정,출장 시 교통비는 실비 정산을 원칙으로 한다.
근무 규정,정규 근무 시간은 오전 9시부터 오후 6시까지이다.
근무 규정,야근은 사전 승인 후 가능하며 대체휴무를 제공한다.
휴가 규정,연차 휴가는 연간 15일이 기본으로 제공된다.
휴가 규정,연차는 1시간 단위로 분할 사용이 가능하다.
보안 규정,사내 문서는 외부 이메일로 전송할 수 없다.
보안 규정,퇴사 시 모든 회사 자료는 즉시 반납해야 한다.
퇴직금 규정,명예퇴직 시 퇴직금은 법정퇴직금과 회사 규정에 따른 명예퇴직수당을 합산하여 14일 이내 일시금으로 수령한다.
퇴직금 규정,퇴직금은 퇴직소득세 원천징수 후 정산한다.
퇴직금 규정,법정퇴직금은 퇴직 직전 3개월 평균임금을 기준으로 1년 근속당 30일분 이상의 평균임금 계산한다.
퇴직금 규정,명예퇴직수당(특별위로금)은 정년 잔여 기간에 따라 기본급의 일정 비율을 곱하여 산정한다.



